mytype,material,link,value
lon,soda,http://www.amthuc365.vn/cong-thuc/3394-ket-hop-nong-lanh-trong-ly-soda-chanh-da-khat.html,1
g,cốm,http://www.amthuc365.vn/cong-thuc/3399-cha-com-doi-vi-ngon-com.html,400
g,thịt xay,http://www.amthuc365.vn/cong-thuc/3399-cha-com-doi-vi-ngon-com.html,200
g,giò sống,http://www.amthuc365.vn/cong-thuc/3399-cha-com-doi-vi-ngon-com.html,200
đủ,trứng,http://www.amthuc365.vn/cong-thuc/3399-cha-com-doi-vi-ngon-com.html,vừa
đủ,nước mắm,http://www.amthuc365.vn/cong-thuc/3399-cha-com-doi-vi-ngon-com.html,vừa
đủ,mỳ chính,http://www.amthuc365.vn/cong-thuc/3399-cha-com-doi-vi-ngon-com.html,vừa
g,bì lợn,http://www.amthuc365.vn/cong-thuc/3391-nem-bi-cuon-la-sung.html,400
đủ,thính gạo,http://www.amthuc365.vn/cong-thuc/3391-nem-bi-cuon-la-sung.html,vừa
ít,tỏi,http://www.amthuc365.vn/cong-thuc/3391-nem-bi-cuon-la-sung.html,1
đủ,ớt,http://www.amthuc365.vn/cong-thuc/3391-nem-bi-cuon-la-sung.html,vừa
đủ,lá sung,http://www.amthuc365.vn/cong-thuc/3391-nem-bi-cuon-la-sung.html,vừa
đủ,đinh lăng,http://www.amthuc365.vn/cong-thuc/3391-nem-bi-cuon-la-sung.html,vừa
đủ,tương ớt,http://www.amthuc365.vn/cong-thuc/3391-nem-bi-cuon-la-sung.html,vừa
con,vịt,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,1
g,cà chua,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,300
g,mỡ nước,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,100
g,hành khô,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
