mytype,material,link,value
đủ,hạt nêm,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,vừa
g,bột bắp,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,12
miếng,đậu phụ,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
lát,thịt xông khói,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,3
cái,nấm mỡ,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,2
g,tinh bột ngô,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,40
g,muối,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,2.5
quả,cà chua,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
ít,hạt tiêu,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
g,sốt cà chua,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,30-45
lá,húng quế,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,2-4
chén,phô mai mozzarella,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,1
lá,rau mùi tây,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,vài
g,thịt bò,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,300
củ,hành tây,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1/2
muỗng,nước me,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,2
chén,nước lạnh,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
muỗng,đường,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
muỗng cà phê,tiêu,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
tép,tỏi,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,3
muỗng,dầu hào,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
muỗng,xì dầu,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
ít,hành lá,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
ít,ớt,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
mỗng,bột bắp,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,1
kg,ớt cay,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,0.8
kg,ớt sừng,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,2.2
ml,nước,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,800
thìa cà phê,muối,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,3
thìa cà phê,đường,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,2
ml,rượu trắng,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,20
củ,tỏi,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,4
thìa,dầu ăn,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,2
quả,cà chua,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,1
g,khoai môn,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,200
g,hạt sen,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,50
M,cà rốt,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,1
g,giò sống,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,100
M,hành lá,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,1
g,bột mì,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,100
quả,trứng gà,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,2
g,bột xù,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,150
,Vừng trắng,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Tiêu,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Dầu ăn,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Hạt nêm,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Xốt mayonnaise,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
hũ,sữa chua,http://www.amthuc365.vn/cong-thuc/3404-sua-chua-deo-tu-lam-tai-nha.html,1
ml,sữa đặc,http://www.amthuc365.vn/cong-thuc/3404-sua-chua-deo-tu-lam-tai-nha.html,50
ml,sữa tươi,http://www.amthuc365.vn/cong-thuc/3404-sua-chua-deo-tu-lam-tai-nha.html,250
ml,whipping cream,http://www.amthuc365.vn/cong-thuc/3404-sua-chua-deo-tu-lam-tai-nha.html,100
lá,gelatin,http://www.amthuc365.vn/cong-thuc/3404-sua-chua-deo-tu-lam-tai-nha.html,4
ml,nước sôi,http://www.amthuc365.vn/cong-thuc/3404-sua-chua-deo-tu-lam-tai-nha.html,80
kg,Thịt ba rọi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,"0,5"
g,Rau má,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,400
con,vịt,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,1
g,cà chua,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,300
g,mỡ nước,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,100
g,hành khô,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
g,thịt đùi,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,500
g,bì,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,150 - 180
muỗng,Tỏi,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,5
trái,Ớt,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,10-20
kg,rau rền,http://www.amthuc365.vn/cong-thuc/3406-nau-canh-rau-ren-voi-tom-tuoi-dan-da-mat-lanh.html,1/2
g,tôm,http://www.amthuc365.vn/cong-thuc/3406-nau-canh-rau-ren-voi-tom-tuoi-dan-da-mat-lanh.html,200
tép,tỏi,http://www.amthuc365.vn/cong-thuc/3406-nau-canh-rau-ren-voi-tom-tuoi-dan-da-mat-lanh.html,1
quả,trứng,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,20
lít,nước,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,1
g,muối,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,200 - 250
muỗng canh,đường,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,1
muỗng canh,rượu trắng,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,3
lạng,Thịt ba chỉ,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,3
lạng,Giá đỗ,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,2
g,cá lóc,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,350 - 500
quả,bầu,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,1
củ,cà rốt,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,1
đủ,hành tây,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
tai,mộc nhĩ,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vài
g,vừng đen,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,100
muỗng canh,mật ong,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,2
muỗng canh,đường,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,2
ml,nước,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,50
củ,cà rốt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,2
củ,Cải trắng,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,1
g,Bún tươi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,200
nước,Dừa tươi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Tương hạt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Hành,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Bơ đậu phộng,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Đậu phộng hạt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Hạt nêm,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
g,khoai tây,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,300
g,hành hoa,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,50
g,bột mỳ,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
g,tỏi,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,10
g,đường,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
ml,rượu trắng,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,30
đủ,nước mắm,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,vừa
đủ,xì dầu,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,vừa
đủ,muối,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,vừa
ít,húng lìu,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,1
,Thính,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,
,đường,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,chút
,Tiêu,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,
bông,hoa hồi,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,1
quả,thảo quả,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,1
nhánh,gừng,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,1
ít,hạt tiêu,http://www.amthuc365.vn/cong-thuc/3409-lam-trung-muoi-ngon.html,1
mớ,Kinh giới,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,1
,Bột nêm,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
,mirin,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
,Hạt tiêu,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
,Xốt chua ngọt,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,
ít,hành lá,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,1
ít,rau mùi,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,1
củ,gừng,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,1
đủ,hành tím,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
đủ,muối,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
đủ,tiêu,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
đủ,nước mắm,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
đủ,đường,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
g,bột nếp,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,100
g,bột năng,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,20
ml,nước cốt dừa,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,130
đủ,nước đường,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,vừa
,Xương ống và Tủy,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
nước,Tương,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Tỏi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Ớt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,mắm,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,bánh tráng,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
đủ,bột ngọt,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
đủ,dầu ăn,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vừa
quả,ớt,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,vài
con,tôm sú,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,15
g,thịt lợn,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,300
g,thịt nạc vai,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,100
g,rau xà lách,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,100
tệp,bánh nem,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
ml,giấm bỗng,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,200
quả,dưa chuột,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1-2
g,lá hẹ,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,30
g,bún,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,100
củ,hành khô,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,3
nắm,ngò rí,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
nắm,húng,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
Phần,nước chấm:,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,*
thìa canh,dầu ăn,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
thìa canh,tỏi,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
thìa canh,tương hosin,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,5
thìa canh,nước luộc thịt,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,5
thìa canh,bơ đậu phộng,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
thìa canh,đường,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
gr,Tôm sú,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,200
trái,Xoài,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,1
muỗng canh,Xốt mayonnaise,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,1
,Hạt nêm,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,
g,Thịt,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,300
g,Bắp,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,80
trái,Dưa leo,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,1
trái,Ớt Đà Lạt,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,1
bông,Hẹ,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,10
g,Thịt,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,100
,Tôm khô,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,
,Mộc nhĩ,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,
cốc,Bột nếp,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,2
nhánh,Hành tươi,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,"2,3"
,Dưa chuột,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Trứng,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Cà rốt,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
lá,Rong biển,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Cơm,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Xúc xích,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
g,Phi-lê cá bớp,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,200
g,Rau xà lách,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,50
ml,nước Dừa,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,100
g,Tiêu xanh,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,5
nhánh,Gừng,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
cây,Xả,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,2
thìa súp,Mắm,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,4
thìa súp,Tỏi,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,2
củ,hành tây,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
thìa cà phê,Ớt,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
thìa cà phê,Đường,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,3
thìa súp,Nước cốt chanh,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
thìa súp,Giấm,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,3
thìa súp,Dầu ăn,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
,Rau dấp cá,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,
trái,Táo,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,1
g,Thịt heo,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,200
muỗng,Súp mật ong,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,1
muỗng,Súp nước tương,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,1
